,name,base_avg,sket_avg,base_var,base_var
0,table_0159,326.0194687815597,309.49580007595455,14669.804078811698,14669.804078811698
1,bottle_0296,367.5133266289811,350.4498541756694,3840.8615531478927,3840.8615531478927
2,sofa_0386,516.8007183660509,499.9297095533189,90061.52840811314,90061.52840811314
3,vase_0211,306.7917758383088,300.6277608624726,11386.158269779613,11386.158269779613
4,bag_002,339.4059318623848,328.7480817223052,20314.496712308264,20314.496712308264
5,guitar_0073,407.21259419126903,382.41870085399563,3204.1149513851974,3204.1149513851974
6,bag_000,377.18402126260713,380.8763942888475,83408.72198219769,83408.72198219769
7,cone_0065,491.00763573171804,477.7091411603729,2283.3437751102383,2283.3437751102383
8,desk_0108,355.80963052239053,349.9746970107468,33138.318426435406,33138.318426435406
9,monitor_0281,340.0880876590074,351.2322131693252,7328.042141268941,7328.042141268941
10,car_0195,346.4646928884355,316.4396282633463,30713.28927254136,30713.28927254136
11,plant_0091,317.47151599962217,298.74142653704337,7748.236745586111,7748.236745586111
12,pillow_004,401.20244092782656,385.56735918514494,47614.14365974606,47614.14365974606
13,display_004,315.7336750479241,326.44848590422095,5295.28719836896,5295.28719836896
14,display_001,423.8024466599332,424.18852421471115,99157.1044907486,99157.1044907486
15,sofa_0484,334.12599850422254,342.6440417957921,32581.65299551351,32581.65299551351
16,toilet_0019,321.4549420039368,294.7204126106512,39846.550298052,39846.550298052
17,desk_0003,409.31462221603675,388.60367471153296,33559.63473914668,33559.63473914668
18,pillow_001,406.70604232234626,394.3748277371413,55654.63127573486,55654.63127573486
19,car_0134,351.32179037555926,323.2664199495788,12571.146226357845,12571.146226357845
20,wardrobe_0042,340.393821735571,316.39362519661154,52396.014629305406,52396.014629305406
21,guitar_0036,493.2406055439214,451.8464296638929,8607.246900709984,8607.246900709984
22,display_002,339.74637304556614,333.4953937092629,12482.248274182266,12482.248274182266
23,cup_0064,297.7160508887166,289.8147209458241,22676.968726481544,22676.968726481544
24,airplane_0337,399.6542423792143,359.3721450152726,11690.278458606275,11690.278458606275
25,chair_0654,379.68706193610245,373.30074660261147,9712.2451853347,9712.2451853347
26,tent_0113,409.6514302157087,403.07428186519616,56070.23221996975,56070.23221996975
27,guitar_0112,444.8571880611051,431.7841037133494,1763.851466775633,1763.851466775633
28,wardrobe_0053,306.31321443328704,308.31266752271864,9507.470701115864,9507.470701115864
29,tent_0134,344.3318606776954,336.671961175267,31789.341089407317,31789.341089407317
30,chair_0619,288.3262635483883,290.54984232945174,11982.008606340663,11982.008606340663
31,bowl_0009,305.30889873978936,301.57478360500045,53182.58242647402,53182.58242647402
32,car_0132,301.38505093517233,284.8363010250682,8508.813456813112,8508.813456813112
33,bottle_0163,290.0664356886858,262.2406731281473,5829.188016070872,5829.188016070872
34,birdhouse_000,313.49220454283966,307.4129952647551,17672.37511985063,17672.37511985063
35,pillow_000,427.0401802466061,369.8434717735083,14460.910455713125,14460.910455713125
36,table_0373,444.10386431445227,408.26715912509576,30654.172964440124,30654.172964440124
37,bag_004,305.25288259796974,298.6071316128713,12233.816266690092,12233.816266690092
38,bag_003,282.32817808087634,275.1801030801138,17328.525572260318,17328.525572260318
39,bowl_0001,343.5274772636939,353.195324546765,27526.694492747476,27526.694492747476
40,helmet_003,400.26099931424193,400.977399146494,80764.72811155643,80764.72811155643
41,plant_0179,455.8692161937644,428.9293083839701,504.2514649520639,504.2514649520639
42,cone_0058,279.8647560431365,292.18792042518174,10259.68923116986,10259.68923116986
43,table_0166,363.30761447701684,332.218108798899,16764.4718682887,16764.4718682887
44,bottle_0328,334.91223283561436,316.3956875365585,5259.334392449747,5259.334392449747
45,tent_0081,352.7819736130434,343.70887789678534,19946.998436660146,19946.998436660146
46,basket_003,302.8258928571381,288.22360283610755,29751.838242704427,29751.838242704427
47,birdhouse_002,289.64535596106043,291.0700700390693,14706.603735669087,14706.603735669087
48,bed_0012,383.19320826625756,351.14922291463665,3662.1417731209967,3662.1417731209967
49,lamp_0116,397.8489059249294,388.6004372605777,1952.398672031294,1952.398672031294
50,basket_000,278.6368822761722,284.8352043167832,19156.370557913116,19156.370557913116
51,bowl_0010,370.0758111240406,362.1762255018996,5083.953696649841,5083.953696649841
52,birdhouse_001,398.96337142472026,374.2290506781407,41101.93549093843,41101.93549093843
53,bed_0335,475.6784810411697,434.6958038464675,39600.180437248295,39600.180437248295
54,lamp_0016,426.4245131429944,403.9471276541307,3384.9657876044616,3384.9657876044616
55,basket_002,416.7777240357762,411.70281965595086,17730.67950477602,17730.67950477602
56,pillow_003,345.04766733846054,351.73087179570956,9286.924823608535,9286.924823608535
57,plant_0079,427.95321573712863,422.75809068750743,1772.7402964084,1772.7402964084
58,vase_0017,263.1619300237625,251.78377627913767,8395.909772725334,8395.909772725334
59,helmet_004,423.2611771862182,408.2773042803072,8793.046932127196,8793.046932127196
60,basket_001,430.6121779255342,451.040653664745,55454.85554639369,55454.85554639369
61,cup_0071,309.08351271235625,297.3639722828698,23606.91869501647,23606.91869501647
62,bag_001,298.6793354757029,279.094027576202,8504.80762332978,8504.80762332978
63,sofa_0304,447.0597156229432,446.44014417362615,81728.327548947,81728.327548947
64,birdhouse_003,339.14224030379484,343.36480118497093,39234.92698351055,39234.92698351055
65,bed_0296,441.1385816761729,405.1079487595205,50383.539232627365,50383.539232627365
66,pillow_002,326.10513216515267,331.06813664911186,23255.42882017462,23255.42882017462
67,cone_0109,322.8616297225601,310.75533154324296,19936.46449043813,19936.46449043813
68,helmet_002,366.7481420602819,371.42051865397184,21187.038088429024,21187.038088429024
69,display_003,340.7604114597754,320.5435543348524,38910.43323691922,38910.43323691922
70,birdhouse_004,279.50376740431676,282.67495546417655,17301.76681620018,17301.76681620018
71,lamp_0063,309.7731863619728,333.6350045614157,6622.883910838674,6622.883910838674
72,basket_004,336.19329347351135,337.55766744770403,24777.46126284318,24777.46126284318
73,chair_0138,353.87086450410965,353.0320007143441,7581.504280601407,7581.504280601407
74,display_000,394.2460820760098,383.9983396693045,122645.55567026098,122645.55567026098
75,airplane_0415,436.28537846560425,374.4962107188055,4160.796051841318,4160.796051841318
76,wardrobe_0059,355.09426302422105,341.5910154752998,38784.799873025695,38784.799873025695
77,desk_0179,338.86140299656216,312.3575501434141,8116.304018494369,8116.304018494369
78,helmet_001,480.113740001869,428.80281064665144,38282.76451026991,38282.76451026991
79,monitor_0172,348.625334684646,335.23878363424524,16593.354879004943,16593.354879004943
80,helmet_000,511.38414367431164,482.0203263613474,76176.93214056105,76176.93214056105
81,cup_0051,261.7608163594876,249.38047497011553,17276.327917017636,17276.327917017636
82,vase_0407,293.7975534175286,303.8441967012795,15602.306555051753,15602.306555051753
83,airplane_0061,428.8267910126703,387.02531959532195,2217.9924096518107,2217.9924096518107
84,monitor_0184,357.4111751705192,336.6682021842378,4149.3679837672,4149.3679837672
